name,url,create_time,spider_time,title,time,release_date,intro,genres,directors,writers,stars,actors
Experience Preferred... But Not Essential (1982),https://www.imdb.com/title/tt0083911/?ref_=fn_al_tt_1,2023-03-13 17:08:10.263169,2023-03-14 05:46:24.608128,Experience Preferred... But Not Essential,1 hour 20 minutes,"December 22, 1982 ",,Drama,Peter Duffell,June Roberts|Jack Rosenthal|June Roberts|Jack Rosenthal|June Roberts|Jack Rosenthal|June Roberts|Jack Rosenthal|June Roberts|Jack Rosenthal|June Roberts|Jack Rosenthal,,Elizabeth Edmonds|Sue Wallace|Geraldine Griffiths|Elizabeth Edmonds|Sue Wallace|Geraldine Griffiths|Elizabeth Edmonds|Sue Wallace|Geraldine Griffiths|Elizabeth Edmonds|Sue Wallace|Geraldine Griffiths
How I Won the War (1967),https://www.imdb.com/title/tt0061789/?ref_=fn_al_tt_1,2023-03-13 17:08:12.475267,2023-03-14 05:46:32.370188,How I Won the War,1 hour 49 minutes,"October 23, 1967 ",,Comedy|War,Richard Lester,Patrick Ryan|Charles Wood|Patrick Ryan|Charles Wood|Patrick Ryan|Charles Wood|Patrick Ryan|Charles Wood|Patrick Ryan|Charles Wood|Patrick Ryan|Charles Wood,,Michael Crawford|John Lennon|Roy Kinnear|Michael Crawford|John Lennon|Roy Kinnear|Michael Crawford|John Lennon|Roy Kinnear|Michael Crawford|John Lennon|Roy Kinnear
Light It Up (1999),https://www.imdb.com/title/tt0172726/?ref_=fn_al_tt_1,2023-03-13 17:08:14.674414,2023-03-14 05:46:39.233050,Light It Up,1 hour 39 minutes,"November 10, 1999 ",,Drama|Thriller,Craig Bolotin,Craig Bolotin|Craig Bolotin|Craig Bolotin,,Usher|Forest Whitaker|Rosario Dawson|Usher|Forest Whitaker|Rosario Dawson|Usher|Forest Whitaker|Rosario Dawson|Usher|Forest Whitaker|Rosario Dawson
"Messenger: The Story of Joan of Arc, The (1999)",https://www.imdb.com/title/tt0151137/?ref_=fn_al_tt_1,2023-03-13 17:08:16.915154,2023-03-14 05:46:45.545861,The Messenger: The Story of Joan of Arc,2 hours 28 minutes,"November 12, 1999 ",,Adventure|Biography|Drama,Luc Besson,Andrew Birkin|Luc Besson|Andrew Birkin|Luc Besson|Andrew Birkin|Luc Besson|Andrew Birkin|Luc Besson|Andrew Birkin|Luc Besson|Andrew Birkin|Luc Besson,,Milla Jovovich|John Malkovich|Rab Affleck|Milla Jovovich|John Malkovich|Rab Affleck|Milla Jovovich|John Malkovich|Rab Affleck|Milla Jovovich|John Malkovich|Rab Affleck
Pokémon: The First Movie (1998),https://www.imdb.com/title/tt0190641/?ref_=fn_al_tt_1,2023-03-13 17:08:19.133264,2023-03-14 05:46:52.037481,Pokémon: The First Movie - Mewtwo Strikes Back,1 hour 36 minutes,"November 12, 1999 ",,Animation|Action|Adventure,Kunihiko Yuyama|Michael Haigney,Satoshi Tajiri|Takeshi Shudô|Norman J. Grossfeld|Satoshi Tajiri|Takeshi Shudô|Norman J. Grossfeld|Satoshi Tajiri|Takeshi Shudô|Norman J. Grossfeld|Satoshi Tajiri|Takeshi Shudô|Norman J. Grossfeld|Satoshi Tajiri|Takeshi Shudô|Norman J. Grossfeld|Satoshi Tajiri|Takeshi Shudô|Norman J. Grossfeld,,Veronica Taylor|Rachael Lillis|Eric Stuart|Veronica Taylor|Rachael Lillis|Eric Stuart|Veronica Taylor|Rachael Lillis|Eric Stuart|Veronica Taylor|Rachael Lillis|Eric Stuart
Where's Marlowe? (1999),https://www.imdb.com/title/tt0118150/?ref_=fn_al_tt_1,2023-03-13 17:08:21.341816,2023-03-14 05:46:58.641150,Where's Marlowe?,1 hour 37 minutes,"October 1, 1998 ",,Comedy|Mystery|Thriller,Daniel Pyne,John Mankiewicz|Daniel Pyne|John Mankiewicz|Daniel Pyne|John Mankiewicz|Daniel Pyne|John Mankiewicz|Daniel Pyne|John Mankiewicz|Daniel Pyne|John Mankiewicz|Daniel Pyne,,Miguel Ferrer|John Livingston|Yasiin Bey|Miguel Ferrer|John Livingston|Yasiin Bey|Miguel Ferrer|John Livingston|Yasiin Bey|Miguel Ferrer|John Livingston|Yasiin Bey
"Ape, The (1940)",https://www.imdb.com/title/tt0032215/?ref_=fn_al_tt_1,2023-03-13 17:08:23.532890,2023-03-14 05:47:05.570039,The Ape,1 hour 2 minutes,"September 30, 1940 ",,Horror,William Nigh,Adam Shirk|Curt Siodmak|Richard Carroll|Adam Shirk|Curt Siodmak|Richard Carroll|Adam Shirk|Curt Siodmak|Richard Carroll|Adam Shirk|Curt Siodmak|Richard Carroll|Adam Shirk|Curt Siodmak|Richard Carroll|Adam Shirk|Curt Siodmak|Richard Carroll,,Boris Karloff|Maris Wrixon|Gene O'Donnell|Boris Karloff|Maris Wrixon|Gene O'Donnell|Boris Karloff|Maris Wrixon|Gene O'Donnell|Boris Karloff|Maris Wrixon|Gene O'Donnell
British Intelligence (1940),https://www.imdb.com/title/tt0032283/?ref_=fn_al_tt_1,2023-03-13 17:08:25.872829,2023-03-14 05:47:12.450453,British Intelligence,1 hour 1 minute,"January 29, 1940 ",,Romance|Thriller|War,Terry O. Morse,Lee Katz|Anthony Paul Kelly|Lee Katz|Anthony Paul Kelly|Lee Katz|Anthony Paul Kelly|Lee Katz|Anthony Paul Kelly|Lee Katz|Anthony Paul Kelly|Lee Katz|Anthony Paul Kelly,,Boris Karloff|Margaret Lindsay|Bruce Lester|Boris Karloff|Margaret Lindsay|Bruce Lester|Boris Karloff|Margaret Lindsay|Bruce Lester|Boris Karloff|Margaret Lindsay|Bruce Lester
Ten Benny (1997),https://www.imdb.com/title/tt0114008/?ref_=fn_al_tt_1,2023-03-13 17:08:28.068358,2023-03-14 05:47:18.971483,Ten Benny,1 hour 48 minutes,"November 13, 1998 ",,Drama,Eric Bross,Eric Bross|Tom Cudworth|Eric Bross|Tom Cudworth|Eric Bross|Tom Cudworth|Eric Bross|Tom Cudworth|Eric Bross|Tom Cudworth|Eric Bross|Tom Cudworth,,Adrien Brody|Michael Gallagher|Sybil Darrow|Adrien Brody|Michael Gallagher|Sybil Darrow|Adrien Brody|Michael Gallagher|Sybil Darrow|Adrien Brody|Michael Gallagher|Sybil Darrow
Women on the Verge of a Nervous Breakdown (1988),https://www.imdb.com/title/tt0095675/?ref_=fn_al_tt_1,2023-03-13 17:08:30.305853,2023-03-14 05:47:25.762743,Women on the Verge of a Nervous Breakdown,1 hour 28 minutes,"November 11, 1988 ",,Comedy|Drama,Pedro Almodóvar,Pedro Almodóvar|Jean Cocteau|Pedro Almodóvar|Jean Cocteau|Pedro Almodóvar|Jean Cocteau|Pedro Almodóvar|Jean Cocteau|Pedro Almodóvar|Jean Cocteau|Pedro Almodóvar|Jean Cocteau,,Carmen Maura|Antonio Banderas|Julieta Serrano|Carmen Maura|Antonio Banderas|Julieta Serrano|Carmen Maura|Antonio Banderas|Julieta Serrano|Carmen Maura|Antonio Banderas|Julieta Serrano
"Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)",https://www.imdb.com/title/tt0068528/?ref_=fn_al_tt_1,2023-03-13 17:08:32.579202,2023-03-14 05:47:32.434984,The Effect of Gamma Rays on Man-in-the-Moon Marigolds,1 hour 40 minutes,"May 30, 1973 ",,Drama,Paul Newman,Paul Zindel|Alvin Sargent|Paul Zindel|Alvin Sargent|Paul Zindel|Alvin Sargent|Paul Zindel|Alvin Sargent|Paul Zindel|Alvin Sargent|Paul Zindel|Alvin Sargent,,Joanne Woodward|Nell Potts|Roberta Wallach|Joanne Woodward|Nell Potts|Roberta Wallach|Joanne Woodward|Nell Potts|Roberta Wallach|Joanne Woodward|Nell Potts|Roberta Wallach
"Adventures of Buckaroo Bonzai Across the 8th Dimension, The (1984)",https://www.imdb.com/title/tt0086856/?ref_=fn_al_tt_1,2023-03-13 17:08:34.864027,2023-03-14 05:47:39.307828,The Adventures of Buckaroo Banzai Across the 8th Dimension,1 hour 43 minutes,"October 5, 1984 ",,Adventure|Comedy|Sci-Fi,W.D. Richter,Earl Mac Rauch|Earl Mac Rauch|Earl Mac Rauch,,Peter Weller|John Lithgow|Ellen Barkin|Peter Weller|John Lithgow|Ellen Barkin|Peter Weller|John Lithgow|Ellen Barkin|Peter Weller|John Lithgow|Ellen Barkin
Stand and Deliver (1987),https://www.imdb.com/title/tt0094027/?ref_=fn_al_tt_1,2023-03-13 17:08:37.066391,2023-03-14 05:47:45.675973,Stand and Deliver,1 hour 43 minutes,"March 11, 1988 ",,Biography|Drama,Ramón Menéndez,Ramón Menéndez|Tom Musca|Ramón Menéndez|Tom Musca|Ramón Menéndez|Tom Musca|Ramón Menéndez|Tom Musca|Ramón Menéndez|Tom Musca|Ramón Menéndez|Tom Musca,,Edward James Olmos|Estelle Harris|Mark Phelan|Edward James Olmos|Estelle Harris|Mark Phelan|Edward James Olmos|Estelle Harris|Mark Phelan|Edward James Olmos|Estelle Harris|Mark Phelan
Home Page (1999),https://www.imdb.com/title/tt0144969/?ref_=fn_al_tt_1,2023-03-13 17:09:04.835054,2023-03-14 05:47:51.604340,Home Page,1 hour 42 minutes,"January 24, 1999 ",,Documentary,Doug Block,Doug Block|Deborah Rosenberg|Doug Block|Deborah Rosenberg|Doug Block|Deborah Rosenberg|Doug Block|Deborah Rosenberg|Doug Block|Deborah Rosenberg|Doug Block|Deborah Rosenberg,,Joey Anuff|Justin Hall|Jaime Levy|Joey Anuff|Justin Hall|Jaime Levy|Joey Anuff|Justin Hall|Jaime Levy|Joey Anuff|Justin Hall|Jaime Levy
"Bicycle Thief, The (Ladri di biciclette) (1948)",https://www.imdb.com/title/tt0040522/?ref_=fn_al_tt_1,2023-03-13 17:09:32.646351,2023-03-14 05:47:57.957517,Bicycle Thieves,1 hour 29 minutes,"December 13, 1949 ",,Drama,Vittorio De Sica,Cesare Zavattini|Luigi Bartolini|Oreste Biancoli|Cesare Zavattini|Luigi Bartolini|Oreste Biancoli|Cesare Zavattini|Luigi Bartolini|Oreste Biancoli|Cesare Zavattini|Luigi Bartolini|Oreste Biancoli|Cesare Zavattini|Luigi Bartolini|Oreste Biancoli|Cesare Zavattini|Luigi Bartolini|Oreste Biancoli,,Lamberto Maggiorani|Enzo Staiola|Lianella Carell|Lamberto Maggiorani|Enzo Staiola|Lianella Carell|Lamberto Maggiorani|Enzo Staiola|Lianella Carell|Lamberto Maggiorani|Enzo Staiola|Lianella Carell
Chushingura (1962),https://www.imdb.com/title/tt0055850/?ref_=fn_al_tt_1,2023-03-13 17:09:34.833273,2023-03-14 05:48:04.568163,Chushingura,3 hours 27 minutes,"October 3, 1963 ",,Action|Drama|History,Hiroshi Inagaki,Toshio Yasumi|Toshio Yasumi|Toshio Yasumi,,Yûzô Kayama|Chûsha Ichikawa|Tatsuya Mihashi|Yûzô Kayama|Chûsha Ichikawa|Tatsuya Mihashi|Yûzô Kayama|Chûsha Ichikawa|Tatsuya Mihashi|Yûzô Kayama|Chûsha Ichikawa|Tatsuya Mihashi
Country (1984),https://www.imdb.com/title/tt0087091/?ref_=fn_al_tt_1,2023-03-13 17:09:37.041540,2023-03-14 05:48:11.173389,Country,1 hour 45 minutes,"September 29, 1984 ",,Drama,Richard Pearce,William D. Wittliff|William D. Wittliff|William D. Wittliff,,Jessica Lange|Sam Shepard|Wilford Brimley|Jessica Lange|Sam Shepard|Wilford Brimley|Jessica Lange|Sam Shepard|Wilford Brimley|Jessica Lange|Sam Shepard|Wilford Brimley
'Night Mother (1986),https://www.imdb.com/title/tt0090556/?ref_=fn_al_tt_1,2023-03-13 17:09:39.282144,2023-03-14 05:48:17.502764,"'night, Mother",1 hour 36 minutes,"January 29, 1987 ",,Drama,Tom Moore,Marsha Norman|Marsha Norman|Marsha Norman,,Sissy Spacek|Anne Bancroft|Ed Berke|Sissy Spacek|Anne Bancroft|Ed Berke|Sissy Spacek|Anne Bancroft|Ed Berke|Sissy Spacek|Anne Bancroft|Ed Berke
Miss Julie (1999),https://www.imdb.com/title/tt0189744/?ref_=fn_al_tt_1,2023-03-13 17:09:41.477982,2023-03-14 05:48:24.143469,Miss Julie,1 hour 43 minutes,"December 10, 1999 ",,Drama,Mike Figgis,Helen Cooper|August Strindberg|Helen Cooper|August Strindberg|Helen Cooper|August Strindberg|Helen Cooper|August Strindberg|Helen Cooper|August Strindberg|Helen Cooper|August Strindberg,,Saffron Burrows|Peter Mullan|Maria Doyle Kennedy|Saffron Burrows|Peter Mullan|Maria Doyle Kennedy|Saffron Burrows|Peter Mullan|Maria Doyle Kennedy|Saffron Burrows|Peter Mullan|Maria Doyle Kennedy
Tumbleweeds (1999),https://www.imdb.com/title/tt0161023/?ref_=fn_al_tt_1,2023-03-13 17:09:43.695990,2023-03-14 05:48:30.647414,Tumbleweeds,1 hour 42 minutes,"December 10, 1999 ",,Comedy|Drama,Gavin O'Connor,Angela Shelton|Gavin O'Connor|Angela Shelton|Gavin O'Connor|Angela Shelton|Gavin O'Connor|Angela Shelton|Gavin O'Connor|Angela Shelton|Gavin O'Connor|Angela Shelton|Gavin O'Connor,,Janet McTeer|Kimberly J. Brown|Jay O. Sanders|Janet McTeer|Kimberly J. Brown|Jay O. Sanders|Janet McTeer|Kimberly J. Brown|Jay O. Sanders|Janet McTeer|Kimberly J. Brown|Jay O. Sanders
Bay of Blood (Reazione a catena) (1971),https://www.imdb.com/title/tt0067656/?ref_=fn_al_tt_1,2023-03-13 17:09:45.954312,2023-03-14 05:48:37.343483,A Bay of Blood,1 hour 24 minutes,"May 3, 1972 ",,Horror|Mystery|Thriller,Mario Bava,Mario Bava|Giuseppe Zaccariello|Filippo Ottoni|Mario Bava|Giuseppe Zaccariello|Filippo Ottoni|Mario Bava|Giuseppe Zaccariello|Filippo Ottoni|Mario Bava|Giuseppe Zaccariello|Filippo Ottoni|Mario Bava|Giuseppe Zaccariello|Filippo Ottoni|Mario Bava|Giuseppe Zaccariello|Filippo Ottoni,,Claudine Auger|Luigi Pistilli|Claudio Camaso|Claudine Auger|Luigi Pistilli|Claudio Camaso|Claudine Auger|Luigi Pistilli|Claudio Camaso|Claudine Auger|Luigi Pistilli|Claudio Camaso
"Hitch-Hiker, The (1953)",https://www.imdb.com/title/tt0045877/?ref_=fn_al_tt_1,2023-03-13 17:09:48.192746,2023-03-14 05:48:43.925526,The Hitch-Hiker,1 hour 11 minutes,"April 29, 1953 ",,Crime|Drama|Film-Noir,Ida Lupino,Collier Young|Ida Lupino|Robert L. Joseph|Collier Young|Ida Lupino|Robert L. Joseph|Collier Young|Ida Lupino|Robert L. Joseph|Collier Young|Ida Lupino|Robert L. Joseph|Collier Young|Ida Lupino|Robert L. Joseph|Collier Young|Ida Lupino|Robert L. Joseph,,Edmond O'Brien|Frank Lovejoy|William Talman|Edmond O'Brien|Frank Lovejoy|William Talman|Edmond O'Brien|Frank Lovejoy|William Talman|Edmond O'Brien|Frank Lovejoy|William Talman
Santa Fe Trail (1940),https://www.imdb.com/title/tt0033021/?ref_=fn_al_tt_1,2023-03-13 17:09:50.409747,2023-03-14 05:48:50.677232,Santa Fe Trail,1 hour 50 minutes,"December 28, 1940 ",,War|Western,Michael Curtiz,Robert Buckner|Robert Buckner|Robert Buckner,,Errol Flynn|Olivia de Havilland|Raymond Massey|Errol Flynn|Olivia de Havilland|Raymond Massey|Errol Flynn|Olivia de Havilland|Raymond Massey|Errol Flynn|Olivia de Havilland|Raymond Massey
Spring Fever USA (a.k.a. Lauderdale) (1989),https://www.imdb.com/title/tt0097717/?ref_=fn_al_tt_1,2023-03-13 17:09:52.711953,2023-03-14 05:48:57.185883,Lauderdale,1 hour 31 minutes,"November 8, 1989 ",,Comedy,Bill Milling,Bill Milling|Bill Milling|Bill Milling,,Renee Shugart|Darrel Guilbeau|Jeff Greenman|Renee Shugart|Darrel Guilbeau|Jeff Greenman|Renee Shugart|Darrel Guilbeau|Jeff Greenman|Renee Shugart|Darrel Guilbeau|Jeff Greenman
Agnes Browne (1999),https://www.imdb.com/title/tt0160509/?ref_=fn_al_tt_1,2023-03-13 17:09:54.928900,2023-03-14 05:49:03.608116,Agnes Browne,1 hour 32 minutes,"March 3, 2000 ",,Comedy|Drama|Romance,Anjelica Huston,Brendan O'Carroll|John Goldsmith|Brendan O'Carroll|John Goldsmith|Brendan O'Carroll|John Goldsmith|Brendan O'Carroll|John Goldsmith|Brendan O'Carroll|John Goldsmith|Brendan O'Carroll|John Goldsmith,,Anjelica Huston|Marion O'Dwyer|Niall O'Shea|Anjelica Huston|Marion O'Dwyer|Niall O'Shea|Anjelica Huston|Marion O'Dwyer|Niall O'Shea|Anjelica Huston|Marion O'Dwyer|Niall O'Shea
"End of the Affair, The (1955)",https://www.imdb.com/title/tt0048034/?ref_=fn_al_tt_1,2023-03-13 17:09:57.183423,2023-03-14 05:49:10.498165,The End of the Affair,1 hour 45 minutes,May 1955 ,,Drama|Romance,Edward Dmytryk,Graham Greene|Lenore J. Coffee|Graham Greene|Lenore J. Coffee|Graham Greene|Lenore J. Coffee|Graham Greene|Lenore J. Coffee|Graham Greene|Lenore J. Coffee|Graham Greene|Lenore J. Coffee,,Deborah Kerr|Van Johnson|John Mills|Deborah Kerr|Van Johnson|John Mills|Deborah Kerr|Van Johnson|John Mills|Deborah Kerr|Van Johnson|John Mills
"Map of the World, A (1999)",https://www.imdb.com/title/tt0160513/?ref_=fn_al_tt_1,2023-03-13 17:09:59.435455,2023-03-14 05:49:17.525166,A Map of the World,2 hours 5 minutes,"January 21, 2000 ",,Drama,Scott Elliott,Jane Hamilton|Peter Hedges|Polly Platt|Jane Hamilton|Peter Hedges|Polly Platt|Jane Hamilton|Peter Hedges|Polly Platt|Jane Hamilton|Peter Hedges|Polly Platt|Jane Hamilton|Peter Hedges|Polly Platt|Jane Hamilton|Peter Hedges|Polly Platt,,Sigourney Weaver|Julianne Moore|Dara Perlmutter|Sigourney Weaver|Julianne Moore|Dara Perlmutter|Sigourney Weaver|Julianne Moore|Dara Perlmutter|Sigourney Weaver|Julianne Moore|Dara Perlmutter
Broadway Damage (1997),https://www.imdb.com/title/tt0118780/?ref_=fn_al_tt_1,2023-03-13 17:10:01.904305,2023-03-14 05:49:24.116076,Broadway Damage,1 hour 51 minutes,"May 19, 1998 ",,Comedy|Drama|Musical,Victor Mignatti,Victor Mignatti|Victor Mignatti|Victor Mignatti,,Mara Hobel|Michael Lucas|Hugh Panaro|Mara Hobel|Michael Lucas|Hugh Panaro|Mara Hobel|Michael Lucas|Hugh Panaro|Mara Hobel|Michael Lucas|Hugh Panaro
Daddy Long Legs (1919),https://www.imdb.com/title/tt0010040/?ref_=fn_al_tt_1,2023-03-13 17:10:04.152321,2023-03-14 05:49:30.828601,Daddy-Long-Legs,1 hour 25 minutes,"May 11, 1919 ",,Comedy|Drama,Marshall Neilan,Jean Webster|Agnes Christine Johnston|Jean Webster|Agnes Christine Johnston|Jean Webster|Agnes Christine Johnston|Jean Webster|Agnes Christine Johnston|Jean Webster|Agnes Christine Johnston|Jean Webster|Agnes Christine Johnston,,Mary Pickford|Milla Davenport|Percy Haswell|Mary Pickford|Milla Davenport|Percy Haswell|Mary Pickford|Milla Davenport|Percy Haswell|Mary Pickford|Milla Davenport|Percy Haswell
Go West (1925),https://www.imdb.com/title/tt0015863/?ref_=fn_al_tt_1,2023-03-13 17:10:06.409111,2023-03-14 05:49:37.752675,Go West,1 hour 9 minutes,"November 1, 1925 ",,Comedy|Western,Buster Keaton,Buster Keaton|Lex Neal|Raymond Cannon|Buster Keaton|Lex Neal|Raymond Cannon|Buster Keaton|Lex Neal|Raymond Cannon|Buster Keaton|Lex Neal|Raymond Cannon|Buster Keaton|Lex Neal|Raymond Cannon|Buster Keaton|Lex Neal|Raymond Cannon,,Buster Keaton|Howard Truesdale|Kathleen Myers|Buster Keaton|Howard Truesdale|Kathleen Myers|Buster Keaton|Howard Truesdale|Kathleen Myers|Buster Keaton|Howard Truesdale|Kathleen Myers
"Grand Illusion (Grande illusion, La) (1937)",https://www.imdb.com/title/tt0028950/?ref_=fn_al_tt_1,2023-03-13 17:10:08.717176,2023-03-14 05:49:44.817506,The Grand Illusion,1 hour 53 minutes,"September 12, 1938 ",,Drama|War,Jean Renoir,Charles Spaak|Jean Renoir|Charles Spaak|Jean Renoir|Charles Spaak|Jean Renoir|Charles Spaak|Jean Renoir|Charles Spaak|Jean Renoir|Charles Spaak|Jean Renoir,,Jean Gabin|Dita Parlo|Pierre Fresnay|Jean Gabin|Dita Parlo|Pierre Fresnay|Jean Gabin|Dita Parlo|Pierre Fresnay|Jean Gabin|Dita Parlo|Pierre Fresnay
"James Dean Story, The (1957)",https://www.imdb.com/title/tt0050558/?ref_=fn_al_tt_1,2023-03-13 17:10:10.981438,2023-03-14 05:49:51.562945,The James Dean Story,1 hour 21 minutes,"January 14, 1957 ",,Documentary|Biography,Robert Altman|George W. George,Stewart Stern|Stewart Stern|Stewart Stern,,Martin Gabel|James Dean|Lew Bracker|Martin Gabel|James Dean|Lew Bracker|Martin Gabel|James Dean|Lew Bracker|Martin Gabel|James Dean|Lew Bracker
"Sea Wolves, The (1980)",https://www.imdb.com/title/tt0081470/?ref_=fn_al_tt_1,2023-03-13 17:10:13.239423,2023-03-14 05:49:58.566663,The Sea Wolves,2 hours,"June 5, 1981 ",,Action|History|War,Andrew V. McLaglen,James Leasor|Reginald Rose|James Leasor|Reginald Rose|James Leasor|Reginald Rose|James Leasor|Reginald Rose|James Leasor|Reginald Rose|James Leasor|Reginald Rose,,Gregory Peck|Roger Moore|David Niven|Gregory Peck|Roger Moore|David Niven|Gregory Peck|Roger Moore|David Niven|Gregory Peck|Roger Moore|David Niven
Tarzan the Fearless (1933),https://www.imdb.com/title/tt0024645/?ref_=fn_al_tt_1,2023-03-13 17:10:15.503190,2023-03-14 05:50:05.634781,Tarzan the Fearless,1 hour 26 minutes,"August 11, 1933 ",,Adventure|Family,Robert F. Hill,Edgar Rice Burroughs|Walter Anthony|Edgar Rice Burroughs|Walter Anthony|Edgar Rice Burroughs|Walter Anthony|Edgar Rice Burroughs|Walter Anthony|Edgar Rice Burroughs|Walter Anthony|Edgar Rice Burroughs|Walter Anthony,,Buster Crabbe|Julie Bishop|Edward Woods|Buster Crabbe|Julie Bishop|Edward Woods|Buster Crabbe|Julie Bishop|Edward Woods|Buster Crabbe|Julie Bishop|Edward Woods
"Three Ages, The (1923)",https://www.imdb.com/title/tt25885334/?ref_=fn_al_tt_1,2023-03-13 17:10:17.781064,2023-03-14 05:50:11.720079,"CW 307 Modern Art of Education: Lecture 3: Greek Education and the Middle Ages (August 7, 1923) by Rudolf Steiner",,"January 18, 2022 ",,,,,,
"Glass Bottom Boat, The (1966)",https://www.imdb.com/title/tt0060463/?ref_=fn_al_tt_1,2023-03-13 17:10:20.064891,2023-03-14 05:50:18.625319,The Glass Bottom Boat,1 hour 50 minutes,"June 9, 1966 ",,Comedy|Romance,Frank Tashlin,Everett Freeman|Everett Freeman|Everett Freeman,,Doris Day|Rod Taylor|Arthur Godfrey|Doris Day|Rod Taylor|Arthur Godfrey|Doris Day|Rod Taylor|Arthur Godfrey|Doris Day|Rod Taylor|Arthur Godfrey
Diamonds (1999),https://www.imdb.com/title/tt0167423/?ref_=fn_al_tt_1,2023-03-13 17:10:22.280826,2023-03-14 05:50:25.371981,Diamonds,1 hour 31 minutes,"February 18, 2000 ",,Comedy|Mystery,John Asher,Allan Aaron Katz|Allan Aaron Katz|Allan Aaron Katz,,Kirk Douglas|Lauren Bacall|Dan Aykroyd|Kirk Douglas|Lauren Bacall|Dan Aykroyd|Kirk Douglas|Lauren Bacall|Dan Aykroyd|Kirk Douglas|Lauren Bacall|Dan Aykroyd
"Bat Whispers, The (1930)",https://www.imdb.com/title/tt0020668/?ref_=fn_al_tt_1,2023-03-13 17:10:24.618513,2023-03-14 05:50:31.823630,The Bat Whispers,1 hour 23 minutes,"November 13, 1930 ",,Crime|Drama|Horror,Roland West,Mary Roberts Rinehart|Avery Hopwood|Roland West|Mary Roberts Rinehart|Avery Hopwood|Roland West|Mary Roberts Rinehart|Avery Hopwood|Roland West|Mary Roberts Rinehart|Avery Hopwood|Roland West|Mary Roberts Rinehart|Avery Hopwood|Roland West|Mary Roberts Rinehart|Avery Hopwood|Roland West,,Chester Morris|Una Merkel|William Bakewell|Chester Morris|Una Merkel|William Bakewell|Chester Morris|Una Merkel|William Bakewell|Chester Morris|Una Merkel|William Bakewell
Blood on the Sun (1945),https://www.imdb.com/title/tt0037547/?ref_=fn_al_tt_1,2023-03-13 17:10:26.839550,2023-03-14 05:50:38.403219,Blood on the Sun,1 hour 34 minutes,"July 20, 1945 ",,Drama|Romance|Thriller,Frank Lloyd,Lester Cole|Nathaniel Curtis|Garrett Fort|Lester Cole|Nathaniel Curtis|Garrett Fort|Lester Cole|Nathaniel Curtis|Garrett Fort|Lester Cole|Nathaniel Curtis|Garrett Fort|Lester Cole|Nathaniel Curtis|Garrett Fort|Lester Cole|Nathaniel Curtis|Garrett Fort,,James Cagney|Sylvia Sidney|Porter Hall|James Cagney|Sylvia Sidney|Porter Hall|James Cagney|Sylvia Sidney|Porter Hall|James Cagney|Sylvia Sidney|Porter Hall
"Alley Cats, The (1968)",https://www.imdb.com/title/tt0073972/?ref_=fn_al_tt_1,2023-03-13 17:10:41.949211,2023-03-14 05:50:44.801674,Charlie's Angels,1 hour,"March 21, 1976 ",,Action|Adventure|Crime,,,,Kate Jackson|Farrah Fawcett|Jaclyn Smith|Kate Jackson|Farrah Fawcett|Jaclyn Smith|Kate Jackson|Farrah Fawcett|Jaclyn Smith|Kate Jackson|Farrah Fawcett|Jaclyn Smith
Brenda Starr (1989),https://www.imdb.com/title/tt0096978/?ref_=fn_al_tt_1,2023-03-13 17:10:44.168431,2023-03-14 05:50:51.334701,Brenda Starr,1 hour 33 minutes,"April 15, 1992 ",,Adventure|Comedy|Romance,Robert Ellis Miller,Noreen Stone|James D. Buchanan|Delia Ephron|Noreen Stone|James D. Buchanan|Delia Ephron|Noreen Stone|James D. Buchanan|Delia Ephron|Noreen Stone|James D. Buchanan|Delia Ephron|Noreen Stone|James D. Buchanan|Delia Ephron|Noreen Stone|James D. Buchanan|Delia Ephron,,Brooke Shields|Timothy Dalton|Tony Peck|Brooke Shields|Timothy Dalton|Tony Peck|Brooke Shields|Timothy Dalton|Tony Peck|Brooke Shields|Timothy Dalton|Tony Peck
"Falcon and the Snowman, The (1984)",https://www.imdb.com/title/tt9208876/?ref_=fn_al_tt_1,2023-03-13 17:10:46.425173,2023-03-14 05:50:57.885143,The Falcon and the Winter Soldier,50 minutes,"March 19, 2021 ",,Action|Adventure|Drama,,,,Anthony Mackie|Sebastian Stan|Wyatt Russell|Anthony Mackie|Sebastian Stan|Wyatt Russell|Anthony Mackie|Sebastian Stan|Wyatt Russell|Anthony Mackie|Sebastian Stan|Wyatt Russell
Hi-Yo Silver (1940),https://www.imdb.com/title/tt0032590/?ref_=fn_al_tt_1,2023-03-13 17:10:48.649698,2023-03-14 05:51:04.225039,Hi-Yo Silver,1 hour 9 minutes,"April 10, 1940 ",,Family|Western,John English|William Witney,Barry Shipman|George Worthing Yates|Franklin Adreon|Barry Shipman|George Worthing Yates|Franklin Adreon|Barry Shipman|George Worthing Yates|Franklin Adreon|Barry Shipman|George Worthing Yates|Franklin Adreon|Barry Shipman|George Worthing Yates|Franklin Adreon|Barry Shipman|George Worthing Yates|Franklin Adreon,,Chief Thundercloud|Lynne Roberts|Stanley Andrews|Chief Thundercloud|Lynne Roberts|Stanley Andrews|Chief Thundercloud|Lynne Roberts|Stanley Andrews|Chief Thundercloud|Lynne Roberts|Stanley Andrews
