id,genres,name,release_time,directors,writers,starts
251,Action,"Hunted, The (1995)",24 February 1995 (USA),J.F. Lawton,J.F. Lawton,Christopher Lambert|John Lone|Joan Chen
252,Comedy|Romance,I.Q. (1994),25 December 1994 (USA),Fred Schepisi,Andy Breckman|Andy Breckman,Tim Robbins|Meg Ryan|Walter Matthau
253,Drama|Horror,Interview with the Vampire (1994),"November 11, 1994 ",Neil Jordan,Anne Rice|Anne Rice|Anne Rice,Brad Pitt|Tom Cruise|Antonio Banderas|Brad Pitt|Tom Cruise|Antonio Banderas|Brad Pitt|Tom Cruise|Antonio Banderas|Brad Pitt|Tom Cruise|Antonio Banderas
254,Drama,Jefferson in Paris (1995),31 March 1995 (USA),James Ivory,Ruth Prawer Jhabvala,Nick Nolte|Greta Scacchi|Gwyneth Paltrow
255,Comedy,"Jerky Boys, The (1994)","February 3, 1995 ",James Melkonian,James Melkonian|Rich Wilkes|John G. Brennan|James Melkonian|Rich Wilkes|John G. Brennan|James Melkonian|Rich Wilkes|John G. Brennan|James Melkonian|Rich Wilkes|John G. Brennan|James Melkonian|Rich Wilkes|John G. Brennan|James Melkonian|Rich Wilkes|John G. Brennan,John G. Brennan|Kamal Ahmed|Alan Arkin|John G. Brennan|Kamal Ahmed|Alan Arkin|John G. Brennan|Kamal Ahmed|Alan Arkin|John G. Brennan|Kamal Ahmed|Alan Arkin
256,Comedy|Sci-Fi,Junior (1994),23 November 1994 (USA),Ivan Reitman,Kevin Wade,Arnold Schwarzenegger|Danny DeVito|Emma Thompson
257,Mystery|Thriller,Just Cause (1995),17 February 1995 (USA),Arne Glimcher,John Katzenbach|Jeb Stuart,Sean Connery|Laurence Fishburne|Kate Capshaw
258,Adventure|Children's|Comedy|Fantasy|Romance,"Kid in King Arthur's Court, A (1995)",2 December 1997 (China),Michael Gottlieb,Michael Part,Thomas Ian Nicholas|Joss Ackland|Art Malik
259,Crime|Drama|Thriller,Kiss of Death (1995),21 April 1995 (USA),Barbet Schroeder,Eleazar Lipsky|Ben Hecht,David Caruso|Samuel L. Jackson|Nicolas Cage
260,Action|Adventure|Fantasy|Sci-Fi,Star Wars: Episode IV - A New Hope (1977),"May 25, 1977 ",George Lucas,George Lucas|George Lucas|George Lucas,Mark Hamill|Harrison Ford|Carrie Fisher|Mark Hamill|Harrison Ford|Carrie Fisher|Mark Hamill|Harrison Ford|Carrie Fisher|Mark Hamill|Harrison Ford|Carrie Fisher
261,Drama,Little Women (1994),21 December 1994 (Canada),Gillian Armstrong,Louisa May Alcott,Susan Sarandon|Winona Ryder|Kirsten Dunst
262,Children's|Drama,"Little Princess, A (1995)",19 May 1995 (USA),Alfonso Cuarón,Frances Hodgson Burnett|Richard LaGravenese,Liesel Matthews|Eleanor Bron|Liam Cunningham
263,Drama,Ladybird Ladybird (1994),30 September 1994 (UK),Ken Loach,Rona Munro,Crissy Rock|Vladimir Vega|Sandie Lavelle
264,Drama,"Enfer, L' (1994)",November 1994 ,Claude Chabrol,Claude Chabrol|Henri-Georges Clouzot|Jean Ferry|Claude Chabrol|Henri-Georges Clouzot|Jean Ferry|Claude Chabrol|Henri-Georges Clouzot|Jean Ferry|Claude Chabrol|Henri-Georges Clouzot|Jean Ferry|Claude Chabrol|Henri-Georges Clouzot|Jean Ferry|Claude Chabrol|Henri-Georges Clouzot|Jean Ferry,Emmanuelle Béart|François Cluzet|Nathalie Cardone|Emmanuelle Béart|François Cluzet|Nathalie Cardone|Emmanuelle Béart|François Cluzet|Nathalie Cardone|Emmanuelle Béart|François Cluzet|Nathalie Cardone
265,Drama|Romance,Like Water for Chocolate (Como agua para chocolate) (1992),"May 28, 1993 ",Alfonso Arau,Laura Esquivel|Laura Esquivel|Laura Esquivel,Marco Leonardi|Lumi Cavazos|Regina Torné|Marco Leonardi|Lumi Cavazos|Regina Torné|Marco Leonardi|Lumi Cavazos|Regina Torné|Marco Leonardi|Lumi Cavazos|Regina Torné
266,Drama|Romance|War|Western,Legends of the Fall (1994),13 January 1995 (USA),Edward Zwick,Susan Shilliday|William D. Wittliff,Brad Pitt|Anthony Hopkins|Aidan Quinn
267,Comedy,Major Payne (1994),"March 24, 1995 ",Nick Castle,Joe Connelly|Bob Mosher|William Roberts|Joe Connelly|Bob Mosher|William Roberts|Joe Connelly|Bob Mosher|William Roberts|Joe Connelly|Bob Mosher|William Roberts|Joe Connelly|Bob Mosher|William Roberts|Joe Connelly|Bob Mosher|William Roberts,Damon Wayans|Michael Ironside|Bam Bam Bigelow|Damon Wayans|Michael Ironside|Bam Bam Bigelow|Damon Wayans|Michael Ironside|Bam Bam Bigelow|Damon Wayans|Michael Ironside|Bam Bam Bigelow
268,Drama,Little Odessa (1994),"May 19, 1995 ",James Gray,James Gray|James Gray|James Gray,Tim Roth|Edward Furlong|Moira Kelly|Tim Roth|Edward Furlong|Moira Kelly|Tim Roth|Edward Furlong|Moira Kelly|Tim Roth|Edward Furlong|Moira Kelly
269,Drama,My Crazy Life (Mi vida loca) (1993),,,,
270,Drama|Romance,Love Affair (1994),21 October 1994 (USA),Glenn Gordon Caron,Mildred Cram|Leo McCarey,Warren Beatty|Annette Bening|Katharine Hepburn
271,Drama,Losing Isaiah (1995),17 March 1995 (USA),Stephen Gyllenhaal,Seth Margolis,Jessica Lange|Halle Berry|David Strathairn
272,Drama,"Madness of King George, The (1994)",24 March 1995 (UK),Nicholas Hytner,Alan Bennett,Nigel Hawthorne|Helen Mirren|Rupert Graves
273,Drama|Horror,Mary Shelley's Frankenstein (1994),"November 4, 1994 ",Kenneth Branagh,Mary Shelley|Steph Lady|Frank Darabont|Mary Shelley|Steph Lady|Frank Darabont|Mary Shelley|Steph Lady|Frank Darabont|Mary Shelley|Steph Lady|Frank Darabont|Mary Shelley|Steph Lady|Frank Darabont|Mary Shelley|Steph Lady|Frank Darabont,Robert De Niro|Kenneth Branagh|Helena Bonham Carter|Robert De Niro|Kenneth Branagh|Helena Bonham Carter|Robert De Niro|Kenneth Branagh|Helena Bonham Carter|Robert De Niro|Kenneth Branagh|Helena Bonham Carter|TriStar Pictures|Japan Satellite Broadcasting |IndieProd Company Productions
274,Comedy,Man of the House (1995),3 March 1995 (USA),James Orr,David E. Peckinpah|Richard Jefferies,Chevy Chase|Farrah Fawcett|Jonathan Taylor Thomas
275,Comedy,Mixed Nuts (1994),21 December 1994 (USA),Nora Ephron,Nora Ephron,Steve Martin|Madeline Kahn|Robert Klein
276,Comedy|Romance,Milk Money (1994),31 August 1994 (USA),Richard Benjamin,John Mattson,Melanie Griffith|Ed Harris|Michael Patrick Carter
277,Drama,Miracle on 34th Street (1994),18 November 1994 (USA),Les Mayfield,Valentine Davies|George Seaton,Richard Attenborough|Elizabeth Perkins|Dylan McDermott
278,Comedy,Miami Rhapsody (1995),27 January 1995 (USA),David Frankel,David Frankel,Sarah Jessica Parker|Mia Farrow|Antonio Banderas
279,Drama,My Family (1995),3 May 1995 (USA),Gregory Nava,Gregory Nava,Jimmy Smits|Esai Morales|Edward James Olmos
280,Drama|Thriller,Murder in the First (1995),20 January 1995 (USA),Marc Rocco,Dan Gordon,Christian Slater|Kevin Bacon|Gary Oldman
281,Drama,Nobody's Fool (1994),13 January 1995 (USA),Robert Benton,Richard Russo,Paul Newman|Bruce Willis|Jessica Tandy
282,Drama,Nell (1994),23 December 1994 (USA),Michael Apted,Mark Handley|William Nicholson,Jodie Foster|Liam Neeson|Natasha Richardson
283,Crime|Drama,New Jersey Drive (1995),19 April 1995 (USA),Nick Gomez,Nick Gomez|Nick Gomez,Shar-Ron Corley|Gabriel Casseus|Saul Stein
284,Action|Crime,New York Cop (1996),"August 14, 1993 ",Tôru Murakawa,Hiroshi Kashiwabara|Jiro Ueno|Hiroshi Kashiwabara|Jiro Ueno|Hiroshi Kashiwabara|Jiro Ueno|Hiroshi Kashiwabara|Jiro Ueno|Hiroshi Kashiwabara|Jiro Ueno|Hiroshi Kashiwabara|Jiro Ueno,Tôru Nakamura|Chad McQueen|Mira Sorvino|Tôru Nakamura|Chad McQueen|Mira Sorvino|Tôru Nakamura|Chad McQueen|Mira Sorvino|Tôru Nakamura|Chad McQueen|Mira Sorvino
285,Drama|Horror,Beyond Bedlam (1993),"April 22, 1994 ",Vadim Jean,John Brosnan|Vadim Jean|Rob Walker|John Brosnan|Vadim Jean|Rob Walker|John Brosnan|Vadim Jean|Rob Walker|John Brosnan|Vadim Jean|Rob Walker|John Brosnan|Vadim Jean|Rob Walker|John Brosnan|Vadim Jean|Rob Walker,Craig Fairbrass|Elizabeth Hurley|Keith Allen|Craig Fairbrass|Elizabeth Hurley|Keith Allen|Craig Fairbrass|Elizabeth Hurley|Keith Allen|Craig Fairbrass|Elizabeth Hurley|Keith Allen
286,Action|Sci-Fi|Thriller,Nemesis 2: Nebula (1995),"September 26, 1995 ",Albert Pyun,Rebecca Charles|Albert Pyun|Rebecca Charles|Albert Pyun|Rebecca Charles|Albert Pyun|Rebecca Charles|Albert Pyun|Rebecca Charles|Albert Pyun|Rebecca Charles|Albert Pyun,Sue Price|Chad Stahelski|Tina Cote|Sue Price|Chad Stahelski|Tina Cote|Sue Price|Chad Stahelski|Tina Cote|Sue Price|Chad Stahelski|Tina Cote
287,Comedy|Romance,Nina Takes a Lover (1994),3 March 1995 (USA),Alan Jacobs,Alan Jacobs,Laura San Giacomo|Paul Rhys|Michael O'Keefe
288,Action|Thriller,Natural Born Killers (1994),26 August 1994 (USA),Oliver Stone,Quentin Tarantino|David Veloz,Woody Harrelson|Juliette Lewis|Tom Sizemore
289,Comedy|Romance,Only You (1994),7 October 1994 (USA),Norman Jewison,Diane Drake,Marisa Tomei|Robert Downey Jr.|Bonnie Hunt
290,Crime|Drama,Once Were Warriors (1994),8 December 1994 (Australia),Lee Tamahori,Riwia Brown,Rena Owen|Temuera Morrison|Mamaengaroa Kerr-Bell
291,Thriller,Poison Ivy II (1995),"February 2, 1996 ",Anne Goursaud,Chloe King|Chloe King|Chloe King,Alyssa Milano|Johnathon Schaech|Xander Berkeley|Alyssa Milano|Johnathon Schaech|Xander Berkeley|Alyssa Milano|Johnathon Schaech|Xander Berkeley|Alyssa Milano|Johnathon Schaech|Xander Berkeley
292,Action|Drama|Thriller,Outbreak (1995),10 March 1995 (USA),Wolfgang Petersen,Laurence Dworet,Dustin Hoffman|Rene Russo|Morgan Freeman
293,Crime|Drama|Romance|Thriller,"Professional, The (a.k.a. Leon: The Professional) (1994)","November 18, 1994 ",Luc Besson,Luc Besson|Luc Besson|Luc Besson,Jean Reno|Gary Oldman|Natalie Portman|Jean Reno|Gary Oldman|Natalie Portman|Jean Reno|Gary Oldman|Natalie Portman|Jean Reno|Gary Oldman|Natalie Portman
294,Comedy|Romance,"Perez Family, The (1995)",12 May 1995 (USA),Mira Nair,Christine Bell,Marisa Tomei|Anjelica Huston|Alfred Molina
295,Comedy|Romance,"Pyromaniac's Love Story, A (1995)",28 April 1995 (USA),Joshua Brand,Morgan Ward,William Baldwin|John Leguizamo|Sadie Frost
296,Crime|Drama,Pulp Fiction (1994),14 October 1994 (USA),Quentin Tarantino,Quentin Tarantino|Roger Avary,John Travolta|Uma Thurman|Samuel L. Jackson
297,Drama,Panther (1995),"May 3, 1995 ",Mario Van Peebles,Melvin Van Peebles|Melvin Van Peebles|Melvin Van Peebles,Kadeem Hardison|Bokeem Woodbine|Joe Don Baker|Kadeem Hardison|Bokeem Woodbine|Joe Don Baker|Kadeem Hardison|Bokeem Woodbine|Joe Don Baker|Kadeem Hardison|Bokeem Woodbine|Joe Don Baker
298,Comedy,Pushing Hands (1992),"December 7, 1991 ",Ang Lee,Ang Lee|James Schamus|Ang Lee|James Schamus|Ang Lee|James Schamus|Ang Lee|James Schamus|Ang Lee|James Schamus|Ang Lee|James Schamus,Sihung Lung|Lai Wang|Bozhao Wang|Sihung Lung|Lai Wang|Bozhao Wang|Sihung Lung|Lai Wang|Bozhao Wang|Sihung Lung|Lai Wang|Bozhao Wang
299,Drama,Priest (1994),17 March 1995 (UK),Antonia Bird,Jimmy McGovern,Linus Roache|Tom Wilkinson|Robert Carlyle
300,Drama,Quiz Show (1994),7 October 1994 (USA),Robert Redford,Paul Attanasio,Ralph Fiennes|John Turturro|Rob Morrow
301,Drama|Romance,Picture Bride (1995),"May 5, 1995 ",Kayo Hatta,Kayo Hatta|Mari Hatta|Diane Mei Lin Mark|Kayo Hatta|Mari Hatta|Diane Mei Lin Mark|Kayo Hatta|Mari Hatta|Diane Mei Lin Mark|Kayo Hatta|Mari Hatta|Diane Mei Lin Mark|Kayo Hatta|Mari Hatta|Diane Mei Lin Mark|Kayo Hatta|Mari Hatta|Diane Mei Lin Mark,Yûki Kudô|Akira Takayama|Cary-Hiroyuki Tagawa|Yûki Kudô|Akira Takayama|Cary-Hiroyuki Tagawa|Yûki Kudô|Akira Takayama|Cary-Hiroyuki Tagawa|Yûki Kudô|Akira Takayama|Cary-Hiroyuki Tagawa
302,Drama|Romance,Queen Margot (La Reine Margot) (1994),"December 9, 1994 ",Patrice Chéreau,Alexandre Dumas|Danièle Thompson|Patrice Chéreau|Alexandre Dumas|Danièle Thompson|Patrice Chéreau|Alexandre Dumas|Danièle Thompson|Patrice Chéreau|Alexandre Dumas|Danièle Thompson|Patrice Chéreau|Alexandre Dumas|Danièle Thompson|Patrice Chéreau|Alexandre Dumas|Danièle Thompson|Patrice Chéreau,Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade|Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade|Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade|Isabelle Adjani|Daniel Auteuil|Jean-Hugues Anglade
303,Action|Adventure|Western,"Quick and the Dead, The (1995)",10 February 1995 (USA),Sam Raimi,Simon Moore,Sharon Stone|Gene Hackman|Russell Crowe
304,Comedy|Drama,Roommates (1995),3 March 1995 (USA),Peter Yates,Max Apple|Max Apple,Peter Falk|D.B. Sweeney|Julianne Moore
305,Comedy,Ready to Wear (Pret-A-Porter) (1994),"December 25, 1994 ",Robert Altman,Robert Altman|Barbara Shulgasser|Robert Altman|Barbara Shulgasser|Robert Altman|Barbara Shulgasser|Robert Altman|Barbara Shulgasser|Robert Altman|Barbara Shulgasser|Robert Altman|Barbara Shulgasser,Sophia Loren|Julia Roberts|Marcello Mastroianni|Sophia Loren|Julia Roberts|Marcello Mastroianni|Sophia Loren|Julia Roberts|Marcello Mastroianni|Sophia Loren|Julia Roberts|Marcello Mastroianni
306,Drama,Three Colors: Red (1994),"November 23, 1994 ",Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland,Irène Jacob|Jean-Louis Trintignant|Frédérique Feder|Irène Jacob|Jean-Louis Trintignant|Frédérique Feder|Irène Jacob|Jean-Louis Trintignant|Frédérique Feder|Irène Jacob|Jean-Louis Trintignant|Frédérique Feder
307,Drama,Three Colors: Blue (1993),"September 8, 1993 ",Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland,Juliette Binoche|Zbigniew Zamachowski|Julie Delpy|Juliette Binoche|Zbigniew Zamachowski|Julie Delpy|Juliette Binoche|Zbigniew Zamachowski|Julie Delpy|Juliette Binoche|Zbigniew Zamachowski|Julie Delpy
308,Drama,Three Colors: White (1994),"June 10, 1994 ",Krzysztof Kieslowski,Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland|Krzysztof Kieslowski|Krzysztof Piesiewicz|Agnieszka Holland,Zbigniew Zamachowski|Julie Delpy|Janusz Gajos|Zbigniew Zamachowski|Julie Delpy|Janusz Gajos|Zbigniew Zamachowski|Julie Delpy|Janusz Gajos|Zbigniew Zamachowski|Julie Delpy|Janusz Gajos
309,Drama,"Red Firecracker, Green Firecracker (1994)","June 2, 1995 ",Ping He,Feng Jicai|Daying Ye|Feng Jicai|Daying Ye|Feng Jicai|Daying Ye|Feng Jicai|Daying Ye|Feng Jicai|Daying Ye|Feng Jicai|Daying Ye,Jing Ning|Gang Wu|Xiaorui Zhao|Jing Ning|Gang Wu|Xiaorui Zhao|Jing Ning|Gang Wu|Xiaorui Zhao|Jing Ning|Gang Wu|Xiaorui Zhao
310,Comedy,Rent-a-Kid (1995),TV Movie 4 November 1995,Fred Gerber,Paul Bernbaum,Leslie Nielsen|Christopher Lloyd|Matt McCoy
311,Horror|Thriller,Relative Fear (1994),16 December 1994 (Canada),George Mihalka,Kurt Wimmer,Darlanne Fluegel|Martin Neufeld|James Brolin
312,Comedy,Stuart Saves His Family (1995),12 April 1995 (USA),Harold Ramis,Al Franken,Al Franken|Laura San Giacomo|Vincent D'Onofrio
313,Animation|Children's,"Swan Princess, The (1994)",18 November 1994 (USA),Richard Rich,Richard Rich|Brian Nissen,Jack Palance|Howard McGillin|Michelle Nicastro
314,Drama,"Secret of Roan Inish, The (1994)",3 February 1995 (USA),John Sayles,Rosalie K. Fry,Jeni Courtney|Eileen Colgan|Mick Lally
315,Action,"Specialist, The (1994)",7 October 1994 (USA),Luis Llosa,John Shirley,Sylvester Stallone|Sharon Stone|James Woods
316,Action|Adventure|Sci-Fi,Stargate (1994),28 October 1994 (USA),Roland Emmerich,Dean Devlin,Kurt Russell|James Spader|Jaye Davidson
317,Children's|Comedy|Fantasy,"Santa Clause, The (1994)",11 November 1994 (USA),John Pasquin,Leo Benvenuti,Tim Allen|Judge Reinhold|Wendy Crewson
318,Drama,"Shawshank Redemption, The (1994)",14 October 1994 (USA),Frank Darabont,Stephen King,Tim Robbins|Morgan Freeman|Bob Gunton
319,Thriller,Shallow Grave (1994),6 January 1995 (UK),Danny Boyle,John Hodge,Kerry Fox|Christopher Eccleston|Ewan McGregor
320,Film-Noir|Thriller,Suture (1993),24 August 1994 (France),Scott McGehee|David Siegel,Scott McGehee,Dennis Haysbert|Mel Harris|Sab Shimono
321,Drama,Strawberry and Chocolate (Fresa y chocolate) (1993),"January 20, 1995 ",Tomás Gutiérrez Alea|Juan Carlos Tabío,Tomás Gutiérrez Alea|Senel Paz|Tomás Gutiérrez Alea|Senel Paz|Tomás Gutiérrez Alea|Senel Paz|Tomás Gutiérrez Alea|Senel Paz|Tomás Gutiérrez Alea|Senel Paz|Tomás Gutiérrez Alea|Senel Paz,Jorge Perugorría|Vladimir Cruz|Mirta Ibarra|Jorge Perugorría|Vladimir Cruz|Mirta Ibarra|Jorge Perugorría|Vladimir Cruz|Mirta Ibarra|Jorge Perugorría|Vladimir Cruz|Mirta Ibarra
322,Comedy|Drama,Swimming with Sharks (1995),"April 15, 2022 ",,,Diane Kruger|Kiernan Shipka|Finn Jones|Diane Kruger|Kiernan Shipka|Finn Jones|Diane Kruger|Kiernan Shipka|Finn Jones|Diane Kruger|Kiernan Shipka|Finn Jones
324,Comedy,"Sum of Us, The (1994)",28 July 1994 (Australia),Geoff Burton|Kevin Dowling,David Stevens,Jack Thompson|Russell Crowe|John Polson
325,Comedy,National Lampoon's Senior Trip (1995),"September 8, 1995 ",Kelly Makin,Roger Kumble|I. Marlene King|Roger Kumble|I. Marlene King|Roger Kumble|I. Marlene King|Roger Kumble|I. Marlene King|Roger Kumble|I. Marlene King|Roger Kumble|I. Marlene King,Matt Frewer|Valerie Mahaffey|Lawrence Dane|Matt Frewer|Valerie Mahaffey|Lawrence Dane|Matt Frewer|Valerie Mahaffey|Lawrence Dane|Matt Frewer|Valerie Mahaffey|Lawrence Dane
326,Drama,To Live (Huozhe) (1994),,,,
327,Action|Comedy|Musical|Sci-Fi,Tank Girl (1995),31 March 1995 (USA),Rachel Talalay,Alan Martin|Jamie Hewlett,Lori Petty|Ice-T|Naomi Watts
328,Horror,Tales From the Crypt Presents: Demon Knight (1995),"January 13, 1995 ",Ernest R. Dickerson,Ethan Reiff|Cyrus Voris|Mark Bishop|Ethan Reiff|Cyrus Voris|Mark Bishop|Ethan Reiff|Cyrus Voris|Mark Bishop|Ethan Reiff|Cyrus Voris|Mark Bishop|Ethan Reiff|Cyrus Voris|Mark Bishop|Ethan Reiff|Cyrus Voris|Mark Bishop,Billy Zane|William Sadler|Jada Pinkett Smith|Billy Zane|William Sadler|Jada Pinkett Smith|Billy Zane|William Sadler|Jada Pinkett Smith|Billy Zane|William Sadler|Jada Pinkett Smith
329,Action|Adventure|Sci-Fi,Star Trek: Generations (1994),18 November 1994 (USA),David Carson,Gene Roddenberry|Rick Berman,Patrick Stewart|William Shatner|Malcolm McDowell
330,Comedy|Horror,Tales from the Hood (1995),24 May 1995 (USA),Rusty Cundieff,Rusty Cundieff,Clarence Williams III|Corbin Bernsen|Joe Torry
331,Drama,Tom & Viv (1994),15 April 1994 (UK),Brian Gilbert,Michael Hastings|Michael Hastings,Willem Dafoe|Miranda Richardson|Rosemary Harris
332,Horror|Sci-Fi,Village of the Damned (1995),28 April 1995 (USA),John Carpenter,John Wyndham|Stirling Silliphant,Christopher Reeve|Kirstie Alley|Linda Kozlowski
333,Comedy,Tommy Boy (1995),31 March 1995 (USA),Peter Segal,Bonnie Turner,Chris Farley|David Spade|Brian Dennehy
334,Drama,Vanya on 42nd Street (1994),19 October 1994 (USA),Louis Malle,Anton Chekhov|David Mamet,Wallace Shawn|Phoebe Brand|George Gaynes
335,Mystery|Thriller,"Underneath, The (1995)",28 April 1995 (USA),Steven Soderbergh,Don Tracy|Steven Soderbergh,Peter Gallagher|Elisabeth Shue|Alison Elliott
336,Drama|War,"Walking Dead, The (1995)",24 February 1995 (USA),Preston A. Whitmore II,,Allen Payne|Eddie Griffin|Joe Morton
337,Drama,What's Eating Gilbert Grape (1993),4 March 1994 (USA),Lasse Hallström,Peter Hedges,Johnny Depp|Leonardo DiCaprio|Juliette Lewis
338,Sci-Fi|Thriller,Virtuosity (1995),4 August 1995 (USA),Brett Leonard,Eric Bernt,Denzel Washington|Russell Crowe|Kelly Lynch
339,Comedy|Romance,While You Were Sleeping (1995),21 April 1995 (USA),Jon Turteltaub,Daniel G. Sullivan,Sandra Bullock|Bill Pullman|Peter Gallagher
340,Adventure|Drama,"War, The (1994)",4 November 1994 (USA),Jon Avnet,Kathy McWorter,Elijah Wood|Kevin Costner|Mare Winningham
341,Drama,Double Happiness (1994),28 July 1995 (USA),Mina Shum,Mina Shum,Sandra Oh|Stephen Chang|Alannah Ong
342,Comedy|Romance,Muriel's Wedding (1994),29 September 1994 (Australia),P.J. Hogan,P.J. Hogan,Toni Collette|Rachel Griffiths|Bill Hunter
343,Children's,"Baby-Sitters Club, The (1995)",18 August 1995 (USA),Melanie Mayron,Ann M. Martin,Schuyler Fisk|Bre Blair|Rachael Leigh Cook
344,Comedy,Ace Ventura: Pet Detective (1994),4 February 1994 (USA),Tom Shadyac,Jack Bernstein|Jack Bernstein,Jim Carrey|Courteney Cox|Sean Young
345,Comedy|Drama,"Adventures of Priscilla, Queen of the Desert, The (1994)",8 September 1994 (Australia),Stephan Elliott,Stephan Elliott,Hugo Weaving|Guy Pearce|Terence Stamp
346,Drama|Musical,Backbeat (1993),"April 15, 1994 ",Iain Softley,Iain Softley|Michael Thomas|Stephen Ward|Iain Softley|Michael Thomas|Stephen Ward|Iain Softley|Michael Thomas|Stephen Ward|Iain Softley|Michael Thomas|Stephen Ward|Iain Softley|Michael Thomas|Stephen Ward|Iain Softley|Michael Thomas|Stephen Ward,Stephen Dorff|Sheryl Lee|Ian Hart|Stephen Dorff|Sheryl Lee|Ian Hart|Stephen Dorff|Sheryl Lee|Ian Hart|Stephen Dorff|Sheryl Lee|Ian Hart
347,Drama,Bitter Moon (1992),23 September 1992 (France),Roman Polanski,Pascal Bruckner|Roman Polanski,Hugh Grant|Kristin Scott Thomas|Emmanuelle Seigner
348,Comedy,Bullets Over Broadway (1994),24 February 1995 (USA),Woody Allen,Woody Allen,John Cusack|Dianne Wiest|Jennifer Tilly
349,Action|Adventure|Thriller,Clear and Present Danger (1994),3 August 1994 (USA),Phillip Noyce,Tom Clancy|Donald E. Stewart,Harrison Ford|Willem Dafoe|Anne Archer
350,Drama|Mystery|Thriller,"Client, The (1994)",20 July 1994 (USA),Joel Schumacher,John Grisham|Akiva Goldsman,Susan Sarandon|Tommy Lee Jones|Brad Renfro
351,Comedy|Drama|Romance,"Corrina, Corrina (1994)",26 August 1994 (USA),Jessie Nelson,Jessie Nelson,Ray Liotta|Whoopi Goldberg|Tina Majorino
352,Comedy,Crooklyn (1994),13 May 1994 (USA),Spike Lee,Joie Lee|Joie Lee,Alfre Woodard|Delroy Lindo|David Patrick Kelly
353,Action|Romance|Thriller,"Crow, The (1994)",13 May 1994 (USA),Alex Proyas,James O'Barr|David J. Schow,Brandon Lee|Michael Wincott|Rochelle Davis
354,Drama,Cobb (1994),2 December 1994 (USA),Ron Shelton,Al Stump|Al Stump,Tommy Lee Jones|Robert Wuhl|Lolita Davidovich
355,Children's|Comedy,"Flintstones, The (1994)",27 May 1994 (USA),Brian Levant,Tom S. Parker|Jim Jennewein,John Goodman|Rick Moranis|Rosie O'Donnell
356,Comedy|Romance|War,Forrest Gump (1994),6 July 1994 (USA),Robert Zemeckis,Winston Groom,Tom Hanks|Robin Wright|Gary Sinise
357,Comedy|Romance,Four Weddings and a Funeral (1994),13 May 1994 (UK),Mike Newell,Richard Curtis,Hugh Grant|Andie MacDowell|James Fleet
358,Drama,Higher Learning (1995),11 January 1995 (USA),John Singleton,John Singleton,Omar Epps|Kristy Swanson|Michael Rapaport
359,Comedy|Drama|Romance,I Like It Like That (1994),14 October 1994 (USA),Darnell Martin,Darnell Martin,Luna Lauren Velez|Jon Seda|Tomas Melly
360,Action|Comedy,I Love Trouble (1994),29 June 1994 (USA),Charles Shyer,Nancy Meyers,Nick Nolte|Julia Roberts|Saul Rubinek
361,Drama|Romance,It Could Happen to You (1994),29 July 1994 (USA),Andrew Bergman,Jane Anderson,Nicolas Cage|Bridget Fonda|Rosie Perez
362,Adventure|Children's|Romance,"Jungle Book, The (1994)",25 December 1994 (USA),Stephen Sommers,Rudyard Kipling|Ron Yanover,Jason Scott Lee|Cary Elwes|Lena Headey
363,Documentary,"Wonderful, Horrible Life of Leni Riefenstahl, The (Die Macht der Bilder) (1993)","June 6, 1994 ",Ray Müller,Ray Müller|Ray Müller|Ray Müller,Leni Riefenstahl|Marlene Dietrich|Arnold Fanck|Leni Riefenstahl|Marlene Dietrich|Arnold Fanck|Leni Riefenstahl|Marlene Dietrich|Arnold Fanck|Leni Riefenstahl|Marlene Dietrich|Arnold Fanck
364,Animation|Children's|Musical,"Lion King, The (1994)",15 July 1995 (China),Roger Allers|Rob Minkoff,Irene Mecchi|Jonathan Roberts,Matthew Broderick|Jeremy Irons|James Earl Jones
